100,UNIQUE_AVG: m=100 const anomaly=1
1,917477.202116,917477.202116
2,863895.397281,862913.058776
3,510580.374300,527045.208076
4,386607.917052,347503.800272
5,416508.054753,385219.808970
6,338880.928122,408216.799394
7,207764.748008,198802.177096
8,594075.152255,619641.346669
9,464815.479623,476878.981846
10,386941.227716,359978.958838
11,343081.656956,327843.812883
12,323146.309630,359240.172167
13,527555.293688,529526.795278
14,407454.261614,405495.666560
15,503079.720862,549693.666920
16,536774.629139,493633.053183
17,387472.605347,406706.175297
18,464285.718903,487513.003591
19,387729.806265,402447.548089
20,604769.512268,604680.609104
21,475533.698467,487629.758813
22,564405.207165,538751.715453
23,446579.244269,454890.455678
24,500960.069301,540216.119305
25,470354.540002,470258.660936
26,510540.131026,486159.397855
27,472210.734547,491669.321264
28,473238.979765,504222.427407
29,536138.406836,545592.979242
30,419490.130318,450542.806698
31,435245.551530,474633.314343
32,572871.453560,609611.104517
33,539260.632588,595450.936676
34,431709.784591,443523.245250
35,436177.192652,444518.087674
36,626357.763833,602451.493380
37,480817.041410,510189.772815
38,489456.501064,471212.281765
39,449951.492261,448297.069158
40,503256.924940,493195.380697
41,479739.787105,517500.090249
42,523428.368814,483411.114603
43,389597.060281,384717.789409
44,527667.088599,544735.361097
45,457012.121703,460663.416523
46,494584.763990,477597.079665
47,582444.359815,517917.723477
48,598894.131357,539300.034796
49,552098.550754,508094.744227
50,478783.929885,526886.658907
51,453709.148946,441177.864019
52,439556.883431,508221.636143
53,541064.588563,498138.188763
54,485686.133876,507238.307467
55,479328.229361,506645.628908
56,540220.244105,551492.185815
57,518763.725554,505141.041854
58,501426.998821,461752.781456
59,490466.921126,509338.679212
60,532965.088911,533350.904952
61,542322.164626,502409.656300
62,503450.740692,481059.112495
63,484977.545633,536275.115525
64,519653.071720,531855.452883
65,538932.913984,532665.568490
66,467950.438405,499558.620398
67,599304.168935,556790.209246
68,455833.129400,453469.023442
69,527542.115119,495761.943458
70,473512.337325,473160.113452
71,548062.682423,519942.560285
72,623676.808713,592897.893479
73,494463.148088,486581.311052
74,469720.125683,503173.724565
75,397770.557608,446788.375836
76,468311.002087,512250.260321
77,452109.182705,474844.534238
78,483149.486696,474205.641107
79,570657.871348,539050.023192
80,519533.042074,494995.855095
81,514221.708902,472979.499460
82,510752.353863,528962.424542
83,539839.938443,501707.097374
84,458718.976753,487361.830174
85,592461.656536,571555.900108
86,475121.674320,471947.872960
87,444834.569549,514527.545140
88,477826.838205,481046.020170
89,548607.117487,535504.073222
90,569928.589825,498794.361881
91,396404.429383,438444.033244
92,467908.427050,472919.553192
93,518624.359100,531351.959323
94,498396.173331,476984.983577
95,460676.222339,466759.323667
96,574087.570733,505178.385646
97,475834.625197,484428.126671
98,519701.856597,515703.505357
99,512649.782052,498044.530726
100,478319.282415,470491.416190
101,457459.951293,478306.821677
102,489271.724835,518491.333951
103,553675.419518,516774.150412
104,476434.406623,496146.136108
105,464756.578538,486995.551352
106,468734.876844,515968.590338
107,474289.257031,469382.474410
108,395998.179546,428675.307326
109,470733.790874,477355.968258
110,538509.121665,514584.379845
111,512671.019129,530608.402961
112,446914.457951,487234.932759
113,445831.591965,488407.905915
114,477269.121459,504033.250122
115,470862.605700,467944.493457
116,549047.802542,523554.039972
117,554135.043310,492949.699095
118,443728.146467,485187.615969
119,430445.352049,442796.874370
120,515641.329730,541761.029453
121,587888.182914,538773.817448
122,458566.045127,459675.994676
123,495646.151950,469147.239175
124,502508.128811,538908.604542
125,543678.980964,513635.891254
126,430564.662061,458954.471843
127,437806.531071,485726.609098
128,419501.418342,492741.355187
129,560684.127138,513526.322394
130,507914.380982,519253.867659
131,569194.253596,530836.300986
132,467894.921251,484767.412559
133,529247.828385,491265.258697
134,473729.084515,503436.157688
135,512705.362617,502965.084294
136,522645.051285,496137.129950
137,487556.317119,466099.227153
138,496103.878313,478846.921050
139,511220.407201,488801.099129
140,539237.745701,517859.675016
141,495254.345802,497718.548099
142,487795.813628,501903.205039
143,524979.971002,491377.052724
144,493303.907257,485068.640343
145,502864.249958,488723.304820
146,504666.609066,470884.251740
147,502998.324482,537413.934169
148,498400.457753,482542.365717
149,445288.684962,475022.745587
150,543660.915479,488500.131814
151,551794.376053,537611.189602
152,535774.510760,471121.251418
153,602710.683859,528714.498296
154,476630.676933,501031.575229
155,550693.369574,512997.696166
156,493567.711783,495345.400929
157,497848.994549,495781.773594
158,485786.237690,493214.867842
159,570194.602616,497011.403321
160,489749.055212,506753.358450
161,496368.050289,507476.293173
162,488576.817742,496116.569973
163,511455.095635,522794.008971
164,451046.922609,510131.122718
165,585063.689232,539092.762009
166,484935.544260,516048.037079
167,471217.911082,500535.444227
168,512009.393122,528649.765751
169,534349.517664,498877.411591
170,578418.447925,530458.903262
171,569323.076928,513034.774146
172,450403.681639,489391.072391
173,506977.371289,499120.168027
174,531005.164796,518817.833629
175,541765.116237,511434.581086
176,559588.633784,518881.798011
177,494212.965807,477111.111504
178,458766.906906,502064.477280
179,477406.293175,451041.569739
180,530804.901834,499721.354884
181,501985.475727,473629.318923
182,456599.704502,490694.314569
183,503511.704677,528883.835506
184,564137.896622,512154.712343
185,491632.371308,487605.268099
186,521198.756560,490971.205604
187,522811.398441,517264.959585
188,405412.592117,491759.083677
189,469691.852272,519105.250251
190,483727.710577,515994.585792
191,463289.971901,499372.681245
192,510767.808092,491514.849229
193,569046.737494,496350.131366
194,481178.237756,501314.504363
195,518782.225592,504711.601006
196,447598.219352,493143.318899
197,478200.770690,468143.148553
198,540893.855121,530409.113112
199,514048.512538,521947.169328
200,532914.321316,481617.058525
201,481890.550836,479668.456105
202,473819.548887,487789.215807
203,502736.379350,553370.712203
204,472224.134054,482659.543261
205,490879.879726,534992.007720
206,479323.767549,477686.629546
207,501791.659907,506468.145422
208,534480.493930,547282.817280
209,529582.579434,513387.127227
210,566541.741378,529007.128354
211,504625.900738,479898.397854
212,491904.478702,526648.855638
213,492088.475238,510452.208196
214,558025.733055,509243.019897
215,555471.871656,498843.111156
216,419543.820799,482384.561700
217,492147.392744,481112.343637
218,476029.489789,459862.419271
219,491121.866856,509899.912611
220,538421.162139,511109.132276
221,518484.437379,527272.371229
222,523602.160205,524417.546853
223,568133.566752,506778.725328
224,491360.150155,489563.727430
225,452214.574875,504061.025167
226,463218.983359,504747.916675
227,561314.177051,511802.264923
228,599345.599823,538066.151809
229,521393.062895,484637.556237
230,455323.348698,486025.940430
231,521077.961184,497257.501663
232,469978.565573,489613.117382
233,519267.436278,498234.128039
234,447423.718975,470802.392669
235,455080.998431,483870.122140
236,467499.694589,473222.477469
237,513224.022251,503422.520173
238,553456.012126,517800.103006
239,493352.357557,516424.846260
240,505064.948944,522253.259441
241,538287.904208,479328.003073
242,462022.131325,483827.177081
243,547517.832778,529830.273172
244,492795.246835,487789.406083
245,536013.752096,506142.760699
246,483788.404838,503947.504144
247,432867.287269,482287.483719
248,504404.385257,502642.562698
249,519267.710312,483417.271841
250,480414.889676,482208.931717
251,501189.763034,490154.375030
252,542947.784287,515691.390402
253,485264.335065,517889.407658
254,515180.790736,510598.691829
255,470600.938057,512181.613468
256,482773.800792,457549.454790
257,511327.394958,500175.413947
258,445832.525222,474793.246322
259,526354.503250,522766.262656
260,490535.217951,476703.677291
261,519302.514585,484061.311000
262,561918.081950,512753.946730
263,580920.988132,519287.081203
264,505732.376414,498402.066966
265,557580.680362,535199.123606
266,540665.533470,502409.883991
267,494434.277250,487496.516674
268,479185.563434,504038.651390
269,507705.024687,492659.258652
270,474954.836862,512166.054674
271,538906.085600,494282.988351
272,591634.016625,527329.598593
273,518461.937057,497548.115845
274,506634.226487,489890.887591
275,590070.539846,526761.094090
276,473791.487077,506200.991901
277,491175.337312,502446.310666
278,413213.358257,475857.149167
279,550983.781839,501133.079271
280,565422.839584,526715.872921
281,493640.159192,489507.553799
282,519826.822175,486525.721689
283,508390.200161,507308.898382
284,507231.367188,516894.027171
285,542717.534798,511997.800078
286,556461.547001,498729.863260
287,510187.277577,491747.959061
288,473718.475330,501123.017615
289,417049.325887,489290.237769
290,524121.088182,515299.006055
291,537116.543200,495035.188939
292,474644.566656,487825.769071
293,452867.235106,494477.061271
294,558704.788398,526727.579589
295,449315.281298,489140.271701
296,433074.810638,517245.779727
297,513893.466909,510375.324098
298,500666.398699,517836.718458
299,486594.835417,496926.296468
300,488347.357410,484344.532695
301,480750.355554,480970.525625
302,519362.749954,473204.378702
303,439413.921005,509267.371828
304,502161.062411,493766.180084
305,442274.110497,472954.187475
306,527888.281684,511530.135689
307,539253.133287,507021.553372
308,510552.355502,513857.768621
309,495231.848110,476054.636957
310,517415.470796,507300.758061
311,420370.444331,489965.107748
312,456289.124816,512567.231231
313,472322.539249,509998.307442
314,529892.763664,512445.179927
315,467301.705130,478585.919158
316,518085.891532,501821.295355
317,533867.195804,503476.295203
318,512241.938439,493008.624204
319,469339.787255,511133.821842
320,566354.814211,497532.310119
321,461171.455419,473335.424144
322,475835.784700,489069.490772
323,488252.072502,515988.809373
324,481483.314986,500212.063529
325,498032.651158,485243.805436
326,499466.864172,492946.473419
327,450039.202792,479219.621412
328,549053.163007,514385.893784
329,466369.158393,486796.235974
330,501822.622547,514870.559794
331,528336.908109,509551.574901
332,470791.499149,504089.587466
333,538057.514384,507496.950225
334,494081.111184,491090.321612
335,439404.060876,478263.776493
336,530157.337096,504687.370827
337,585378.326443,527587.560015
338,543736.853595,507897.190386
339,501428.237521,496898.410541
340,479906.545351,497975.618246
341,466066.490364,492043.378784
342,485041.079040,503343.963205
343,568630.969730,521890.629433
344,529764.748949,522075.674217
345,491900.173239,469617.540459
346,494165.952007,483728.930347
347,524736.264030,508518.016324
348,527513.760125,515183.415968
349,572407.057196,508871.205873
350,502003.610156,506360.029539
351,459720.241269,506729.435193
352,515047.055105,507164.981475
353,549862.925435,485822.455192
354,493419.771033,490141.733414
355,541180.784715,520170.046231
356,467275.665806,491780.903691
357,499159.135366,519141.505703
358,574830.746850,493907.136842
359,471839.540482,498989.045338
360,456049.337627,481284.598546
361,561093.594977,525168.554592
362,492491.063371,471593.458760
363,469509.221744,496243.047687
364,509776.795580,514075.461125
365,497800.689025,504533.834156
366,479794.794450,478762.881843
367,522957.797350,468834.451492
368,592240.411318,506919.144430
369,532210.030575,527910.890367
370,536876.408023,492075.782646
371,514737.691854,528631.957336
372,549578.305494,501464.529534
373,545349.112027,507613.011137
374,519546.629246,467884.568636
375,453987.602045,496876.862470
376,525701.643368,509134.276756
377,477254.787718,495853.208566
378,502186.084165,512268.418584
379,463986.328349,483420.320324
380,541440.168377,517334.407348
381,534163.815465,503241.399075
382,502045.390607,510760.258524
383,471596.485542,471822.100768
384,481963.867041,502140.103249
385,532569.938040,504108.253505
386,546866.915097,469531.316898
387,504766.267752,500940.682250
388,514070.285032,486438.226511
389,473866.055071,464566.189019
390,505955.252202,516468.264808
391,463700.687250,485551.652353
392,563428.659052,510907.793108
393,506144.206679,516118.742852
394,562906.243256,500341.336325
395,536060.192116,513180.281298
396,457936.617844,474594.818874
397,548167.337968,526589.273458
398,490765.614045,499431.972203
399,460857.060297,482490.630449
400,489216.351590,490555.619702
401,420418.102204,475967.767893
402,482404.606518,498753.784538
403,469068.570044,486269.552000
404,516826.481438,486837.036842
405,466224.782797,497695.839535
406,536870.035831,495180.192548
407,533457.967108,491724.884549
408,506003.028998,499334.490621
409,533677.124111,504595.528110
410,540886.487846,496273.001499
411,547798.363628,504908.591075
412,532539.607749,511268.192651
413,485003.385848,496610.919886
414,515469.590808,494711.442647
415,481300.642584,499452.052298
416,482071.521616,494406.905607
417,495252.399321,495332.585537
418,477071.817851,493282.200876
419,511768.173137,504794.106438
420,494629.433390,486644.860354
421,559691.088320,532757.267430
422,489577.556029,495861.787669
423,497423.857409,515200.633243
424,438976.048027,490584.300741
425,509039.922894,523654.346310
426,517548.801115,506022.618326
427,512655.533275,492447.391998
428,496670.634145,511089.546949
429,480186.586288,502494.178537
430,441122.729730,503316.067262
431,441778.822416,508727.680388
432,482137.581681,517159.546424
433,502368.128462,473235.654407
434,514314.786436,501370.970448
435,500824.522366,512138.819556
436,520067.179421,510333.199309
437,507003.052864,511384.503681
438,517466.611439,490358.919701
439,511174.393890,509173.439429
440,529898.379537,520056.784337
441,442749.905620,477496.255709
442,529856.118210,509449.885284
443,449840.211372,486499.236107
444,488104.343034,499011.715726
445,521085.770238,490713.186749
446,483049.037184,489288.035510
447,610561.925914,512632.928098
448,500697.491180,487379.364231
449,511810.917534,513258.212172
450,461003.160443,471619.887489
451,509953.399090,495643.738802
452,447857.758495,507611.997901
453,478929.716837,513999.531644
454,563792.742551,505082.206419
455,550232.214607,488162.132694
456,469930.466390,497890.062639
457,509571.336295,496109.265534
458,500430.478758,509112.332180
459,513175.541358,503628.047454
460,437888.608311,476275.215332
461,507459.872332,493984.639667
462,532410.010803,477993.877150
463,553492.746027,523022.855318
464,410342.995302,479507.853487
465,497753.852551,493244.644902
466,466418.423755,508219.552934
467,471998.837203,499729.545701
468,460397.323344,503498.086519
469,495970.114001,491379.505298
470,487696.238215,499605.525291
471,500385.996302,497523.828942
472,486207.725995,493944.723202
473,527334.011978,489570.166284
474,461489.241872,474264.139009
475,546433.564938,512359.070923
476,521239.562077,491362.860394
477,512483.369701,508305.477905
478,500108.204067,498526.150982
479,553332.657059,507134.215901
480,517449.136552,510426.199899
481,522674.600233,520800.879570
482,453064.151470,503456.912672
483,543042.211138,501208.875259
484,518436.285549,502235.205210
485,511490.418165,507534.709614
486,500447.949976,492045.862980
487,556705.333207,496589.259734
488,477756.642318,504447.984941
489,460869.305580,499210.401627
490,538671.215250,486475.917739
491,442329.113493,485239.013123
492,486056.677195,498828.333583
493,435996.194020,488041.836310
494,588589.480288,502756.444894
495,502846.006965,506728.818513
496,459837.201297,494296.725751
497,483332.825720,494673.547625
498,574072.680422,535397.313123
499,511177.660765,507152.356663
500,461265.422452,506317.632839
501,523844.575534,493620.918065
