100,UNIQUE_AVG: m=100 range=(1000; 2000)
1,1919.766792,1919.766792
2,1455.479773,1459.100700
3,1749.298399,1698.727509
4,1509.906742,1503.400018
5,1661.734462,1669.300448
6,1767.353965,1750.903022
7,1251.283587,1228.565969
8,1484.422436,1475.911502
9,1410.387846,1425.811231
10,1655.905392,1640.312856
11,1491.963339,1517.418220
12,1595.224420,1618.943025
13,1467.536549,1517.254940
14,1344.831550,1314.194059
15,1606.138707,1572.441618
16,1502.475924,1472.185591
17,1564.794916,1494.422791
18,1543.202063,1542.873095
19,1596.199339,1630.677518
20,1538.211763,1518.525286
21,1618.447816,1662.919893
22,1390.516600,1415.480012
23,1400.263548,1434.307738
24,1515.402629,1484.342677
25,1525.342503,1518.332759
26,1562.515579,1549.664330
27,1456.941364,1485.597773
28,1523.952912,1530.397062
29,1512.445202,1517.433365
30,1599.400093,1584.372585
31,1461.317034,1498.695614
32,1518.634373,1468.533852
33,1486.054838,1468.141867
34,1621.908234,1551.662717
35,1573.924678,1523.699090
36,1362.115430,1406.570857
37,1527.956092,1550.147479
38,1570.934860,1527.112222
39,1488.954815,1423.848278
40,1505.881306,1537.672952
41,1396.822193,1438.499815
42,1483.466663,1506.736226
43,1525.199932,1540.847001
44,1528.363638,1564.437762
45,1487.993985,1484.041943
46,1563.042075,1575.409781
47,1438.163967,1456.929916
48,1499.732047,1529.842234
49,1460.957184,1499.996184
50,1426.339554,1393.018863
51,1607.202652,1612.126295
52,1522.872155,1539.573723
53,1400.063214,1479.939203
54,1536.608888,1505.808039
55,1427.750788,1488.064536
56,1476.116819,1450.147030
57,1442.582096,1494.488481
58,1568.307622,1527.616307
59,1495.117640,1516.827206
60,1571.036982,1555.560116
61,1478.561967,1500.238989
62,1396.835395,1460.162633
63,1387.653035,1433.478381
64,1510.515274,1471.516775
65,1497.195559,1470.435434
66,1464.848669,1479.691310
67,1452.235391,1450.555746
68,1467.910789,1474.470069
69,1508.065628,1479.525856
70,1463.989991,1467.521489
71,1532.553661,1510.492808
72,1549.920584,1490.844520
73,1513.010694,1489.455286
74,1491.327961,1522.295979
75,1553.480659,1536.708456
76,1497.135198,1458.518280
77,1596.212779,1565.235494
78,1527.101665,1508.092935
79,1451.796531,1501.955059
80,1446.221888,1517.885477
81,1535.516758,1493.808454
82,1520.992661,1488.360397
83,1473.986320,1478.358987
84,1497.154846,1527.880737
85,1595.669660,1538.268903
86,1489.688105,1491.447338
87,1415.777310,1477.767473
88,1495.929046,1500.893805
89,1474.286980,1480.527438
90,1471.836206,1484.467185
91,1549.576168,1531.426783
92,1524.891956,1559.664056
93,1526.886117,1543.018527
94,1541.350718,1507.086085
95,1582.980127,1526.131671
96,1477.071622,1480.473461
97,1452.161585,1511.649093
98,1489.378882,1462.456821
99,1587.273497,1553.421057
100,1445.498829,1490.920667
101,1552.441635,1500.661444
102,1540.085644,1506.330000
103,1535.511206,1519.910780
104,1439.494928,1445.748666
105,1594.407092,1533.579710
106,1451.938179,1468.791093
107,1491.256275,1527.709095
108,1461.517283,1494.677787
109,1417.870214,1481.648425
110,1437.682533,1454.037467
111,1496.535252,1530.956741
112,1477.753447,1472.656894
113,1456.048042,1435.199870
114,1466.002187,1504.277582
115,1490.009938,1508.321577
116,1524.429273,1509.664878
117,1532.428698,1494.979501
118,1498.585717,1493.724228
119,1504.816850,1491.604229
120,1505.732297,1500.021683
121,1488.349689,1468.653238
122,1483.613648,1513.007426
123,1481.474524,1488.507573
124,1428.415109,1520.966980
125,1543.141341,1533.365021
126,1464.133385,1499.307983
127,1540.948239,1517.172919
128,1488.963862,1497.329945
129,1473.015559,1430.543849
130,1484.936730,1460.934164
131,1526.307353,1488.179435
132,1533.011950,1553.219641
133,1522.195043,1474.193728
134,1603.587942,1531.007285
135,1531.708273,1527.789918
136,1547.981085,1525.546204
137,1366.435322,1463.356479
138,1566.668083,1512.828301
139,1491.394299,1474.463786
140,1542.921879,1543.217834
141,1505.089800,1506.841435
142,1498.579891,1484.021070
143,1563.133237,1511.141247
144,1508.459779,1496.849874
145,1493.374290,1443.068860
146,1504.699440,1485.250197
147,1446.473135,1499.570313
148,1569.654847,1515.495801
149,1505.705184,1496.123661
150,1431.954001,1477.927295
151,1540.295569,1512.384663
152,1613.920541,1504.730009
153,1498.370322,1481.945377
154,1542.470890,1503.629160
155,1525.746807,1514.175973
156,1427.870899,1448.791939
157,1478.297120,1483.275812
158,1518.307457,1485.369518
159,1483.234489,1503.134390
160,1591.606441,1500.710159
161,1510.352233,1493.214613
162,1493.611282,1491.281988
163,1525.315401,1508.141432
164,1528.767030,1520.762074
165,1552.545940,1508.007151
166,1517.972392,1505.315584
167,1554.926303,1529.891779
168,1603.209775,1547.227368
169,1481.882780,1523.492599
170,1468.482136,1439.343927
171,1499.323289,1516.823113
172,1479.612811,1479.021203
173,1505.532412,1477.364569
174,1533.653256,1519.173085
175,1533.555272,1496.160678
176,1516.491587,1517.911059
177,1519.624364,1531.061221
178,1539.218094,1508.232677
179,1510.079104,1500.911533
180,1456.873675,1487.966987
181,1517.059454,1500.902355
182,1572.186423,1497.962812
183,1450.406952,1482.290553
184,1589.473567,1532.620712
185,1455.174321,1477.411265
186,1554.437319,1538.887783
187,1465.002015,1515.822487
188,1498.311586,1494.197876
189,1485.690137,1506.089204
190,1511.812977,1481.275589
191,1548.425693,1492.672070
192,1504.481803,1510.059610
193,1471.698755,1482.711421
194,1568.389300,1468.302532
195,1415.279154,1494.793682
196,1409.014919,1487.047661
197,1524.134249,1514.399890
198,1589.200400,1479.139802
199,1528.695497,1536.158713
200,1450.132265,1489.025669
201,1453.961634,1492.424274
202,1552.713943,1528.849938
203,1513.809932,1498.958308
204,1488.207598,1493.232138
205,1513.078259,1484.891064
206,1496.950102,1494.457953
207,1484.083996,1514.942434
208,1517.020692,1506.643636
209,1502.962013,1502.751195
210,1553.542466,1500.305529
211,1484.935499,1505.220100
212,1520.460007,1500.812499
213,1449.106975,1503.829218
214,1533.328812,1496.318315
215,1448.303328,1493.327304
216,1529.509432,1506.978994
217,1468.808436,1487.701766
218,1508.292579,1491.184650
219,1513.994435,1515.597129
220,1520.892555,1522.396963
221,1476.522073,1479.085187
222,1570.862510,1500.341366
223,1540.604172,1514.879826
224,1536.286779,1482.221348
225,1548.710883,1490.157239
226,1514.724262,1495.825959
227,1433.209810,1473.371669
228,1444.676678,1493.016181
229,1614.514385,1508.886994
230,1467.870873,1530.584584
231,1529.594175,1531.976567
232,1537.956740,1511.559569
233,1525.610477,1527.523442
234,1462.586332,1471.024166
235,1461.922144,1491.084359
236,1556.545224,1498.757255
237,1496.528937,1506.038646
238,1486.280781,1503.433836
239,1498.990860,1519.457626
240,1418.988346,1497.466041
241,1488.109329,1496.090025
242,1396.249699,1479.446650
243,1550.463468,1536.949796
244,1504.283854,1509.324535
245,1533.347423,1494.193060
246,1487.161962,1478.573155
247,1492.973379,1515.864329
248,1470.529022,1467.156778
249,1521.880252,1516.068803
250,1465.450162,1488.882057
251,1527.351590,1506.054022
252,1470.958055,1494.271473
253,1449.569247,1506.939281
254,1530.937597,1479.054866
255,1471.320316,1492.371248
256,1546.525735,1494.468573
257,1482.040444,1491.177379
258,1450.378747,1503.591728
259,1517.216730,1465.866529
260,1546.989725,1514.284885
261,1534.880560,1508.913737
262,1565.907162,1474.721268
263,1541.619682,1505.487048
264,1521.570748,1506.369521
265,1570.366865,1499.999988
266,1471.124390,1514.058629
267,1505.816635,1499.716267
268,1570.560686,1521.796827
269,1509.873957,1493.920138
270,1439.930948,1495.628164
271,1503.425396,1483.969098
272,1533.464069,1489.395079
273,1460.775331,1479.843932
274,1536.673138,1481.793512
275,1537.685965,1505.266049
276,1525.861449,1507.579028
277,1508.151152,1496.453251
278,1540.224119,1500.989801
279,1514.109899,1495.314279
280,1460.478184,1509.317364
281,1500.231854,1509.804702
282,1506.253873,1510.718303
283,1517.588854,1481.049211
284,1534.710282,1504.500398
285,1429.874977,1502.925784
286,1406.098063,1481.858773
287,1526.053937,1500.451508
288,1443.738553,1467.725081
289,1555.512147,1501.786644
290,1483.220661,1491.509190
291,1540.149610,1493.396368
292,1467.354663,1487.643205
293,1521.509240,1488.839314
294,1464.400387,1484.901797
295,1502.383898,1498.290827
296,1478.216673,1508.085111
297,1458.554915,1518.164932
298,1547.065070,1531.040994
299,1527.949614,1508.825516
300,1522.458806,1507.720912
301,1464.060741,1495.758030
302,1463.854112,1512.700723
303,1486.121751,1497.301101
304,1444.081903,1478.646452
305,1579.805517,1520.812941
306,1466.250606,1491.942356
307,1458.585575,1506.812379
308,1512.331302,1522.007360
309,1492.988406,1498.941024
310,1454.154903,1510.355892
311,1460.231680,1534.731457
312,1403.307170,1457.643516
313,1551.857307,1482.238005
314,1583.605095,1526.084494
315,1483.376965,1494.279774
316,1531.175081,1503.891812
317,1593.544374,1510.950924
318,1561.446833,1531.025665
319,1488.641078,1522.768635
320,1508.756802,1464.309883
321,1500.450555,1489.079779
322,1576.483232,1507.350929
323,1560.827594,1510.649293
324,1477.637350,1515.655834
325,1526.669141,1531.907615
326,1478.445394,1531.444514
327,1514.500549,1521.073769
328,1483.763869,1479.817397
329,1513.922638,1500.500196
330,1539.339784,1501.176369
331,1435.216820,1476.895089
332,1459.414460,1496.113800
333,1451.160802,1513.378850
334,1475.897357,1488.081347
335,1468.630720,1491.520021
336,1519.207167,1480.518118
337,1479.533745,1486.538335
338,1539.682354,1487.175802
339,1521.685343,1499.287859
340,1398.775325,1476.972610
341,1457.017605,1498.404007
342,1465.043858,1474.656532
343,1501.578968,1492.287318
344,1532.772133,1491.761664
345,1463.901083,1494.075180
346,1550.882106,1490.241946
347,1501.781013,1494.115847
348,1539.871854,1486.784999
349,1569.373637,1495.776540
350,1500.140930,1498.206600
351,1597.780286,1489.830026
352,1513.407608,1490.532107
353,1382.994588,1499.145791
354,1526.770143,1502.031545
355,1471.170444,1498.984904
356,1415.717259,1479.626473
357,1406.824259,1462.675203
358,1513.070908,1538.536010
359,1445.031678,1490.000792
360,1482.178280,1497.221873
361,1486.504547,1493.579256
362,1538.518843,1500.071798
363,1455.025123,1481.732576
364,1560.851503,1489.505874
365,1467.267609,1505.177133
366,1538.652541,1520.609471
367,1563.412944,1520.037374
368,1546.166491,1508.972246
369,1450.576021,1470.285230
370,1593.432668,1491.229881
371,1435.290036,1490.338147
372,1453.550055,1505.920573
373,1482.224418,1513.233698
374,1428.807576,1483.025171
375,1501.809409,1517.632403
376,1501.412428,1514.652485
377,1548.226012,1483.591810
378,1475.011507,1491.020425
379,1432.408015,1494.427089
380,1532.824377,1504.715942
381,1532.109245,1491.043872
382,1565.715492,1509.278128
383,1435.728867,1465.351622
384,1515.465862,1499.102821
385,1494.106481,1489.889802
386,1543.359411,1501.011505
387,1421.043131,1491.564693
388,1506.160926,1503.370728
389,1457.741289,1495.320700
390,1565.886881,1518.209650
391,1534.445564,1504.642142
392,1470.230753,1501.612681
393,1559.825865,1530.549160
394,1440.036413,1478.728335
395,1430.831875,1508.168677
396,1476.751140,1495.404417
397,1512.207718,1522.404167
398,1579.564159,1502.079078
399,1474.427811,1480.285750
400,1497.071127,1490.804935
401,1454.463428,1503.755859
402,1459.171642,1495.751585
403,1481.583767,1497.326025
404,1478.751236,1493.019121
405,1510.116745,1495.821936
406,1521.888710,1493.507968
407,1571.266799,1527.542692
408,1487.544162,1507.815947
409,1508.786724,1512.852156
410,1526.056466,1491.947241
411,1462.721071,1481.951040
412,1559.495946,1513.123979
413,1560.730952,1498.034124
414,1430.093306,1493.879493
415,1506.793781,1492.069649
416,1512.512796,1515.272562
417,1500.795751,1505.105033
418,1483.654379,1483.318738
419,1507.584897,1489.503598
420,1564.471651,1513.467905
421,1538.833715,1520.401464
422,1514.206568,1504.488495
423,1475.162446,1486.627375
424,1542.371785,1497.659870
425,1461.391779,1493.101852
426,1569.781133,1515.858228
427,1531.537017,1462.944491
428,1541.803130,1528.181292
429,1529.087800,1535.023220
430,1537.736517,1513.860156
431,1424.200530,1477.442044
432,1462.953843,1492.685307
433,1523.941366,1521.882662
434,1513.552573,1498.859083
435,1427.007842,1482.763440
436,1397.531103,1524.986910
437,1473.742632,1498.611901
438,1498.115510,1497.531666
439,1513.091594,1492.066813
440,1492.312943,1483.807184
441,1464.312415,1523.190026
442,1481.549181,1511.368243
443,1440.344375,1490.455077
444,1472.365308,1487.868208
445,1538.558817,1525.404092
446,1515.659349,1476.975846
447,1532.539875,1514.502287
448,1481.134857,1506.079229
449,1491.879648,1509.029495
450,1531.061818,1491.697653
451,1510.517494,1513.151140
452,1478.669288,1504.800178
453,1559.233955,1524.560667
454,1388.812314,1478.154513
455,1535.844171,1498.266469
456,1536.533864,1500.534690
457,1463.705090,1484.069407
458,1503.524627,1509.225398
459,1524.458600,1490.512802
460,1510.135435,1503.567102
461,1480.593982,1474.660185
462,1505.433979,1497.012964
463,1487.184318,1496.484103
464,1449.048791,1490.404613
465,1478.484407,1507.167242
466,1527.157420,1486.285527
467,1546.548922,1500.777398
468,1457.098032,1493.602587
469,1433.234164,1498.659791
470,1489.652288,1506.251456
471,1452.889291,1489.482254
472,1497.318598,1488.030726
473,1432.770438,1486.390096
474,1524.212016,1488.242281
475,1485.036269,1493.449107
476,1509.535978,1505.380398
477,1508.174815,1534.650619
478,1498.051456,1509.253049
479,1520.861704,1502.462586
480,1468.715757,1472.643047
481,1544.997130,1503.748411
482,1510.922028,1495.513686
483,1502.095358,1495.931600
484,1529.923205,1490.674937
485,1519.659791,1493.953416
486,1521.776927,1515.200479
487,1547.769764,1503.681915
488,1541.701669,1509.530046
489,1483.326287,1489.646536
490,1488.432343,1482.675036
491,1524.351576,1511.083493
492,1505.469662,1505.979765
493,1523.178298,1506.633167
494,1563.308009,1513.194086
495,1493.674250,1510.920850
496,1565.579493,1519.188513
497,1527.458849,1486.095943
498,1568.311396,1520.516124
499,1531.141647,1504.193735
500,1452.141601,1521.124354
501,1519.906471,1485.017486
