400,UNIQUE_SUM: m=400 const anomaly=0
1,94.401107,100.000000
2,185.508428,200.000000
3,278.016061,300.000000
4,411.743311,400.000000
5,493.011181,500.000000
6,624.173231,600.000000
7,764.135336,700.000000
8,791.473968,800.000000
9,848.871540,900.000000
10,964.835662,1000.000000
11,1097.043659,1100.000000
12,1367.069781,1200.000000
13,1457.836741,1300.000000
14,1415.509853,1400.000000
15,1631.673701,1500.000000
16,1633.589159,1600.000000
17,1722.503125,1700.000000
18,1865.428987,1800.000000
19,1914.196708,1900.000000
20,1905.324988,2000.000000
21,2026.598327,2100.000000
22,2265.078360,2200.000000
23,2411.556946,2300.000000
24,2269.310170,2400.000000
25,2615.150539,2500.000000
26,2424.224291,2600.000000
27,2840.162958,2700.000000
28,2910.665691,2800.000000
29,2905.939581,2900.000000
30,3228.793110,3000.000000
31,3104.119584,3100.000000
32,3373.458345,3200.000000
33,3353.333989,3300.000000
34,3670.936696,3400.000000
35,3226.564573,3500.000000
36,3619.100564,3600.000000
37,3986.270563,3700.000000
38,3703.789844,3800.000000
39,3633.004788,3900.000000
40,3799.819293,4000.000000
41,4158.276189,4100.000000
42,4031.279264,4200.000000
43,4743.841992,4300.000000
44,4506.077458,4400.000000
45,4243.876832,4500.000000
46,4795.060880,4600.000000
47,4729.819940,4700.000000
48,4959.140873,4800.000000
49,5094.809356,4900.000000
50,4862.067903,5000.000000
51,5349.980114,5100.000000
52,5624.061421,5200.000000
53,5298.167464,5300.000000
54,5957.709760,5400.000000
55,5219.692826,5500.000000
56,5450.154907,5600.000000
57,5588.123851,5700.000000
58,5569.666368,5800.000000
59,6376.328065,5900.000000
60,6155.846783,6000.000000
61,6493.008215,6100.000000
62,5983.854084,6200.000000
63,6113.811026,6300.000000
64,6398.385990,6400.000000
65,6447.042363,6500.000000
66,7212.995976,6600.000000
67,6692.775734,6700.000000
68,7147.232879,6800.000000
69,6835.069313,6900.000000
70,7517.709183,7000.000000
71,7284.339162,7100.000000
72,7523.283287,7200.000000
73,6858.944070,7300.000000
74,8176.096904,7400.000000
75,7835.572878,7500.000000
76,8639.050740,7600.000000
77,7875.299168,7700.000000
78,7356.006129,7800.000000
79,7591.088125,7900.000000
80,7751.258486,8000.000000
81,7922.671925,8100.000000
82,9160.781147,8200.000000
83,7811.975510,8300.000000
84,9258.169325,8400.000000
85,8422.763483,8500.000000
86,9111.957284,8600.000000
87,9282.300939,8700.000000
88,9255.384932,8800.000000
89,8620.854541,8900.000000
90,10381.597870,9000.000000
91,9255.152076,9100.000000
92,9365.499817,9200.000000
93,9165.005734,9300.000000
94,9602.198051,9400.000000
95,8941.494045,9500.000000
96,9347.981975,9600.000000
97,8956.067596,9700.000000
98,9670.306356,9800.000000
99,9833.192438,9900.000000
100,9970.864238,10000.000000
101,10347.016211,10100.000000
102,10279.466966,10200.000000
103,10436.408684,10300.000000
104,10143.955083,10400.000000
105,10787.215500,10500.000000
106,11161.925328,10600.000000
107,10708.775157,10700.000000
108,10851.679647,10800.000000
109,11430.785354,10900.000000
110,10989.296832,11000.000000
111,10482.997094,11100.000000
112,10771.481472,11200.000000
113,11217.742250,11300.000000
114,12007.242627,11400.000000
115,10364.685276,11500.000000
116,11426.472354,11600.000000
117,12493.620247,11700.000000
118,10720.260721,11800.000000
119,12122.896632,11900.000000
120,11997.617223,12000.000000
121,11928.123826,12100.000000
122,11162.884452,12200.000000
123,11969.955729,12300.000000
124,11688.698362,12400.000000
125,12162.839856,12500.000000
126,12474.726902,12600.000000
127,12372.673400,12700.000000
128,11519.438858,12800.000000
129,13097.485861,12900.000000
130,13002.383800,13000.000000
131,14017.102117,13100.000000
132,13067.698339,13200.000000
133,13264.916473,13300.000000
134,14340.502814,13400.000000
135,14025.823149,13500.000000
136,13268.843007,13600.000000
137,13884.549608,13700.000000
138,13216.160353,13800.000000
139,15215.164202,13900.000000
140,14229.938264,14000.000000
141,14749.888416,14100.000000
142,14945.879686,14200.000000
143,15873.611852,14300.000000
144,14725.928822,14400.000000
145,13370.647447,14500.000000
146,13716.836835,14600.000000
147,15072.417008,14700.000000
148,15401.777347,14800.000000
149,16227.469397,14900.000000
150,15942.413851,15000.000000
151,15489.877717,15100.000000
152,16538.592907,15200.000000
153,15823.453949,15300.000000
154,15844.422784,15400.000000
155,14020.928473,15500.000000
156,14951.581697,15600.000000
157,16354.961933,15700.000000
158,16266.292666,15800.000000
159,15981.298711,15900.000000
160,18228.584488,16000.000000
161,14896.939571,16100.000000
162,15583.091463,16200.000000
163,16612.563775,16300.000000
164,16787.297038,16400.000000
165,15307.585567,16500.000000
166,18331.060600,16600.000000
167,17090.005475,16700.000000
168,16077.077660,16800.000000
169,16203.282528,16900.000000
170,16002.558046,17000.000000
171,15690.921914,17100.000000
172,17004.101372,17200.000000
173,15820.818782,17300.000000
174,16400.167831,17400.000000
175,17629.209390,17500.000000
176,19793.956322,17600.000000
177,16962.558901,17700.000000
178,18724.192436,17800.000000
179,19226.566574,17900.000000
180,17114.212379,18000.000000
181,19193.065266,18100.000000
182,18687.987921,18200.000000
183,18550.150614,18300.000000
184,19619.304134,18400.000000
185,19848.046295,18500.000000
186,17798.322871,18600.000000
187,17466.414640,18700.000000
188,18758.231092,18800.000000
189,20041.364819,18900.000000
190,18673.818235,19000.000000
191,19240.919655,19100.000000
192,19665.205270,19200.000000
193,19197.109551,19300.000000
194,19976.810053,19400.000000
195,19773.799848,19500.000000
196,20957.502551,19600.000000
197,19104.833940,19700.000000
198,20040.856789,19800.000000
199,20007.058667,19900.000000
200,19351.991776,20000.000000
201,20907.094684,20100.000000
202,22906.054286,20200.000000
203,20554.587221,20300.000000
204,21208.550933,20400.000000
205,20828.835363,20500.000000
206,19364.310348,20600.000000
207,21006.537770,20700.000000
208,21363.133120,20800.000000
209,22766.460360,20900.000000
210,20596.461501,21000.000000
211,20816.188009,21100.000000
212,20081.849107,21200.000000
213,18646.853225,21300.000000
214,20708.604935,21400.000000
215,18841.889887,21500.000000
216,22206.247780,21600.000000
217,21081.755863,21700.000000
218,20043.259843,21800.000000
219,23558.324465,21900.000000
220,19947.624856,22000.000000
221,21906.701621,22100.000000
222,21602.104981,22200.000000
223,20022.099171,22300.000000
224,22631.368165,22400.000000
225,22302.619130,22500.000000
226,20557.131382,22600.000000
227,22299.102334,22700.000000
228,20612.294925,22800.000000
229,22336.364150,22900.000000
230,21671.650252,23000.000000
231,26661.859438,23100.000000
232,24586.142919,23200.000000
233,21545.923224,23300.000000
234,23721.925891,23400.000000
235,26199.361343,23500.000000
236,24652.905502,23600.000000
237,24454.150938,23700.000000
238,22019.064778,23800.000000
239,24165.761283,23900.000000
240,24147.256842,24000.000000
241,22816.236594,24100.000000
242,22813.325134,24200.000000
243,24548.708721,24300.000000
244,24100.852372,24400.000000
245,22411.593250,24500.000000
246,23337.408849,24600.000000
247,22319.187410,24700.000000
248,23780.040936,24800.000000
249,25806.504520,24900.000000
250,25390.638816,25000.000000
251,24051.695005,25100.000000
252,23256.245163,25200.000000
253,27120.824646,25300.000000
254,25042.648227,25400.000000
255,22431.172196,25500.000000
256,25535.350118,25600.000000
257,23984.614660,25700.000000
258,26807.370984,25800.000000
259,27249.469193,25900.000000
260,25446.679084,26000.000000
261,24054.215888,26100.000000
262,26050.026288,26200.000000
263,26198.086987,26300.000000
264,26934.325494,26400.000000
265,28635.876242,26500.000000
266,29129.258291,26600.000000
267,27627.774471,26700.000000
268,26747.426220,26800.000000
269,25958.487087,26900.000000
270,25060.067836,27000.000000
271,26040.619423,27100.000000
272,27745.093862,27200.000000
273,27382.372296,27300.000000
274,25795.604450,27400.000000
275,27542.014123,27500.000000
276,29606.868410,27600.000000
277,30032.932317,27700.000000
278,29627.075869,27800.000000
279,28662.701901,27900.000000
280,29056.810678,28000.000000
281,29729.196639,28100.000000
282,26919.330251,28200.000000
283,28792.370752,28300.000000
284,27347.851395,28400.000000
285,29286.534617,28500.000000
286,29604.752271,28600.000000
287,29435.922640,28700.000000
288,29692.222264,28800.000000
289,30800.299864,28900.000000
290,28797.186129,29000.000000
291,27449.203444,29100.000000
292,29023.535840,29200.000000
293,31301.924892,29300.000000
294,33876.765472,29400.000000
295,28400.089470,29500.000000
296,31057.352261,29600.000000
297,31779.133129,29700.000000
298,31394.422448,29800.000000
299,29598.049329,29900.000000
300,28618.766904,30000.000000
301,31979.586215,30100.000000
302,30969.405944,30200.000000
303,33246.324149,30300.000000
304,30801.863507,30400.000000
305,32693.025194,30500.000000
306,31248.294636,30600.000000
307,31204.457399,30700.000000
308,32198.115450,30800.000000
309,29893.425966,30900.000000
310,32502.869909,31000.000000
311,28943.430823,31100.000000
312,32483.761909,31200.000000
313,33233.276601,31300.000000
314,31145.773868,31400.000000
315,30539.474283,31500.000000
316,31823.990993,31600.000000
317,32144.439262,31700.000000
318,29262.410233,31800.000000
319,34145.748241,31900.000000
320,29578.078487,32000.000000
321,28869.137207,32100.000000
322,28970.463932,32200.000000
323,32202.371728,32300.000000
324,32400.959195,32400.000000
325,27813.902404,32500.000000
326,29952.211637,32600.000000
327,33456.952353,32700.000000
328,31016.994428,32800.000000
329,33674.709199,32900.000000
330,31782.274108,33000.000000
331,34670.500773,33100.000000
332,34084.945018,33200.000000
333,37814.480206,33300.000000
334,35957.335716,33400.000000
335,37230.625979,33500.000000
336,36480.533975,33600.000000
337,32368.899145,33700.000000
338,33699.630788,33800.000000
339,33323.766871,33900.000000
340,38075.428208,34000.000000
341,36479.179415,34100.000000
342,35550.126386,34200.000000
343,33283.588212,34300.000000
344,33490.429893,34400.000000
345,34367.017172,34500.000000
346,35870.799512,34600.000000
347,34225.114710,34700.000000
348,33799.062747,34800.000000
349,34436.196401,34900.000000
350,35394.505009,35000.000000
351,35550.284251,35100.000000
352,35804.577639,35200.000000
353,37856.181932,35300.000000
354,36908.251313,35400.000000
355,34221.995661,35500.000000
356,39577.738422,35600.000000
357,34372.895954,35700.000000
358,34600.283391,35800.000000
359,37215.990566,35900.000000
360,38123.547031,36000.000000
361,35857.323854,36100.000000
362,37945.773483,36200.000000
363,34346.651824,36300.000000
364,34000.216089,36400.000000
365,39007.093931,36500.000000
366,38335.005891,36600.000000
367,36630.452946,36700.000000
368,37491.489212,36800.000000
369,34855.152500,36900.000000
370,40872.869247,37000.000000
371,38834.607362,37100.000000
372,35988.798929,37200.000000
373,35329.221023,37300.000000
374,39261.443730,37400.000000
375,41357.509229,37500.000000
376,38139.615952,37600.000000
377,35395.203906,37700.000000
378,38378.776388,37800.000000
379,38531.199025,37900.000000
380,38558.720421,38000.000000
381,38307.775054,38100.000000
382,36884.890309,38200.000000
383,38579.210001,38300.000000
384,37141.371403,38400.000000
385,37205.623531,38500.000000
386,39912.034760,38600.000000
387,40189.477252,38700.000000
388,38362.665721,38800.000000
389,38012.412724,38900.000000
390,40295.867017,39000.000000
391,38956.397029,39100.000000
392,36492.764085,39200.000000
393,42488.741768,39300.000000
394,38488.289268,39400.000000
395,38928.323868,39500.000000
396,44748.898101,39600.000000
397,42135.281845,39700.000000
398,38924.334726,39800.000000
399,41190.829941,39900.000000
400,38622.257692,40000.000000
401,39476.868076,40100.000000
402,37969.977702,40200.000000
403,44820.392163,40300.000000
404,39142.666031,40400.000000
405,41082.272608,40500.000000
406,38425.722062,40600.000000
407,40174.877284,40700.000000
408,42522.190282,40800.000000
409,40058.989581,40900.000000
410,40522.276579,41000.000000
411,39920.533449,41100.000000
412,40545.784940,41200.000000
413,41039.933781,41300.000000
414,38030.011728,41400.000000
415,45319.898247,41500.000000
416,40798.504256,41600.000000
417,46060.130772,41700.000000
418,43613.176043,41800.000000
419,40417.125579,41900.000000
420,41258.451955,42000.000000
421,40912.583805,42100.000000
422,44989.964437,42200.000000
423,42322.992392,42300.000000
424,44196.442585,42400.000000
425,44952.143988,42500.000000
426,38482.965812,42600.000000
427,42739.264708,42700.000000
428,40762.077831,42800.000000
429,43164.381582,42900.000000
430,46637.467748,43000.000000
431,40737.669025,43100.000000
432,45179.737441,43200.000000
433,45742.109851,43300.000000
434,42255.156040,43400.000000
435,44820.704073,43500.000000
436,43811.209032,43600.000000
437,42600.440595,43700.000000
438,44309.735073,43800.000000
439,41952.868999,43900.000000
440,40330.306725,44000.000000
441,44003.168709,44100.000000
442,47728.288315,44200.000000
443,43381.585890,44300.000000
444,44075.063765,44400.000000
445,44781.828896,44500.000000
446,43156.509658,44600.000000
447,44756.381583,44700.000000
448,44269.764279,44800.000000
449,47267.767756,44900.000000
450,41828.623905,45000.000000
451,42456.656131,45100.000000
452,42100.946681,45200.000000
453,41134.728593,45300.000000
454,45541.733897,45400.000000
455,42265.791312,45500.000000
456,45619.249677,45600.000000
457,40969.832407,45700.000000
458,46113.371362,45800.000000
459,44511.787300,45900.000000
460,45125.141514,46000.000000
461,52152.504256,46100.000000
462,46910.043375,46200.000000
463,47133.230137,46300.000000
464,49345.494527,46400.000000
465,45311.886628,46500.000000
466,48841.811162,46600.000000
467,48350.020912,46700.000000
468,45711.402916,46800.000000
469,46885.431571,46900.000000
470,46894.263038,47000.000000
471,51007.927652,47100.000000
472,45224.802300,47200.000000
473,49618.679520,47300.000000
474,49787.311509,47400.000000
475,47405.420274,47500.000000
476,46126.903436,47600.000000
477,46901.346475,47700.000000
478,48274.869046,47800.000000
479,46675.126429,47900.000000
480,45294.588943,48000.000000
481,49886.192595,48100.000000
482,48220.581552,48200.000000
483,49963.493966,48300.000000
484,48857.674588,48400.000000
485,47602.700937,48500.000000
486,47621.077429,48600.000000
487,48014.246676,48700.000000
488,51173.559597,48800.000000
489,45261.706623,48900.000000
490,47011.231648,49000.000000
491,44953.971367,49100.000000
492,44819.636641,49200.000000
493,51487.581987,49300.000000
494,46477.298791,49400.000000
495,50259.377417,49500.000000
496,47793.796570,49600.000000
497,53387.659758,49700.000000
498,52103.145325,49800.000000
499,52824.481618,49900.000000
500,52203.424164,50000.000000
501,50397.968754,50100.000000
502,53296.337116,50200.000000
503,51249.899915,50300.000000
504,48713.379054,50400.000000
505,48037.002688,50500.000000
